ID,Status,Category,Screen,Description,Resolution,ResolvedAt
1,Resolved,Authentication & Session,Login,"After entering wrong credentials, the sign-in button gets stuck on 'Signing in' and does not reset — requires page reload to retry",commit 5fdca41 — auth Tier 1 login state,2026-04-17
2,Resolved,Authentication & Session,Login,"After a failed login attempt, entering correct credentials still fails — login only works after a full page reload",commit 5fdca41 — token refresh after failed login,2026-04-17
3,Resolved,Authentication & Session,Global,"401 errors appear repeatedly across Galleries, Dashboard, and Live Streams (Failed to list galleries: 401, Failed to list streams: 401) — token refresh is not working reliably",commits 3685d4e + fbce5c0 — authFetch wrapper + pages migration,2026-04-17
4,Resolved,Authentication & Session,Global,"'invalid or expired token' error occurs mid-session during operations (CSV import, event creation) — session expires silently without re-auth",commits 3685d4e + 78cbb70 — authFetch + audit log token refresh,2026-04-17
5,Resolved,Authentication & Session,Global,Navigating to '/' while logged in redirects back to the home/login screen instead of staying in the app,commit 5fdca41 — root redirect when logged in,2026-04-17
6,Resolved,Authentication & Session,Login,No 'Forgot Password' option on the login page,commits 6e5c973 + M39 (0993841) — forgot password full flow,2026-04-17
7,Resolved,Sign Up / Onboarding,Sign Up,Account is auto-activated on signup — the activation code step is bypassed entirely,commit d7fb3b7 — auth/signup/ux tier 3,2026-04-17
8,Resolved,Sign Up / Onboarding,Sign Up,All new users are assigned the Photographer role by default regardless of intent,commit d7fb3b7 — default role normalized,2026-04-17
9,Resolved,Sign Up / Onboarding,Sign Up,Mandatory fields are not clearly indicated during signup,commit 6e5c973 — signup field indicators,2026-04-17
10,Resolved,Global UI,Global — Search Bar,Magnifier icon overlaps with the placeholder text in the search bar,frontend/src/app/(dashboard)/layout.tsx — global search pl-10 → pl-11 for extra clearance,2026-04-17
11,Resolved,Global UI,Global — Search,Global search returns no results — not functioning,commits 69cdd15 + af24008 — search form wiring,2026-04-17
12,Resolved,Global UI,Global — Navbar,Profile icon click does not route to /settings/profile (onClick handler is empty),commit 69cdd15 — profile icon routes /settings/profile,2026-04-17
13,Resolved,Global UI,Global — Navbar,Settings icon click does not route to /settings (onClick handler is empty),commit 69cdd15 — settings icon routes /settings,2026-04-17
14,Resolved,Global UI,Global — Navbar,Notifications bell icon is not functional,commit 69cdd15 — notifications bell icon wired,2026-04-17
15,Resolved,Global UI,Global — Layout,"Dashboard overview components (stats widgets) render on every screen, not just /dashboard","frontend/src/app/(dashboard)/admin/layout.tsx — inspected, contains only nav (no stat widgets leak to child pages); original QA symptom not reproducible in current code",2026-04-17
16,Resolved,Galleries,Galleries — Upload,Photo upload is blocked — UI shows error or 'Uploading 0 files' even with valid JPG/PNG files,frontend/src/hooks/use-upload.ts:41-51 — chunkedUpload now calls getStoredAccessToken() fresh at request time instead of using the closure-captured token from hook mount. Empty-token first-render race no longer 401s every upload.,2026-04-17
17,Resolved,Galleries,Galleries — Sub-galleries,Sub-galleries cannot be opened after creation,frontend/src/app/(dashboard)/galleries/[id]/page.tsx:188-213 — await refreshAlbums() BEFORE setActiveAlbum so albumAssetIdsByAlbum is populated when visibleAssets filter computes,2026-04-17
18,Resolved,Galleries,Galleries — Sub-galleries,Photos cannot be dragged into sub-galleries — drop target does not accept,frontend/src/app/(dashboard)/galleries/[id]/page.tsx:703-760 — per-album drop target added; bulk-mode assets are draggable and carry x-rawdrive-asset-ids mime type; chip drop handler calls addAlbumAssets + refreshAlbums,2026-04-17
19,Resolved,Galleries,Galleries — Creation,'Add Client' button inside gallery creation flow does nothing,frontend/src/app/(dashboard)/galleries/page.tsx — handleCreateClient migrated to createContactAuth (authFetch 401 refresh),2026-04-17
20,Resolved,Galleries,Galleries — Design & Theme,No back-navigation from Gallery Design & Theme page; using the sidebar to return triggers a 401,commit 7e0e7f0 — gallery design back button,2026-04-17
